name,org_code,org_type,date,measure,value,submeasure
ENGLAND,ENG,COUNTRY_RESPONSIBILITY,31-Mar-26,DEMENTIA_ESTIMATE_65_PLUS,751551.4,
ENGLAND,ENG,COUNTRY_RESPONSIBILITY,31-Mar-26,DEMENTIA_REGISTER_65_PLUS,498122,
ENGLAND,ENG,COUNTRY_RESPONSIBILITY,31-Mar-26,DIAG_RATE_65_PLUS,66.3,
ENGLAND,ENG,COUNTRY_RESPONSIBILITY,31-Mar-26,DIAG_RATE_65_PLUS_LL,59.7,
ENGLAND,ENG,COUNTRY_RESPONSIBILITY,31-Mar-26,DIAG_RATE_65_PLUS_UL,71.8,
NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,QYG,ICB,31-Mar-26,DEMENTIA_ESTIMATE_65_PLUS,35692.3,
NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,QYG,ICB,31-Mar-26,DEMENTIA_REGISTER_65_PLUS,24390,
NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,QYG,ICB,31-Mar-26,DIAG_RATE_65_PLUS,68.3,
NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,QYG,ICB,31-Mar-26,DIAG_RATE_65_PLUS_LL,61.5,
NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,QYG,ICB,31-Mar-26,DIAG_RATE_65_PLUS_UL,74.2,
NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,QNC,ICB,31-Mar-26,DEMENTIA_ESTIMATE_65_PLUS,16611.8,
NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,QNC,ICB,31-Mar-26,DEMENTIA_REGISTER_65_PLUS,12100,
NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,QNC,ICB,31-Mar-26,DIAG_RATE_65_PLUS,72.8,
NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,QNC,ICB,31-Mar-26,DIAG_RATE_65_PLUS_LL,65.5,
NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,QNC,ICB,31-Mar-26,DIAG_RATE_65_PLUS_UL,79,
"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",QOC,ICB,31-Mar-26,DEMENTIA_ESTIMATE_65_PLUS,8212.8,
"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",QOC,ICB,31-Mar-26,DEMENTIA_REGISTER_65_PLUS,4954,
"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",QOC,ICB,31-Mar-26,DIAG_RATE_65_PLUS,60.3,
"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",QOC,ICB,31-Mar-26,DIAG_RATE_65_PLUS_LL,54.2,
"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",QOC,ICB,31-Mar-26,DIAG_RATE_65_PLUS_UL,65.7,
NHS LINCOLNSHIRE INTEGRATED CARE BOARD,QJM,ICB,31-Mar-26,DEMENTIA_ESTIMATE_65_PLUS,12989.9,
NHS LINCOLNSHIRE INTEGRATED CARE BOARD,QJM,ICB,31-Mar-26,DEMENTIA_REGISTER_65_PLUS,9048,
NHS LINCOLNSHIRE INTEGRATED CARE BOARD,QJM,ICB,31-Mar-26,DIAG_RATE_65_PLUS,69.7,
NHS LINCOLNSHIRE INTEGRATED CARE BOARD,QJM,ICB,31-Mar-26,DIAG_RATE_65_PLUS_LL,62.7,
NHS LINCOLNSHIRE INTEGRATED CARE BOARD,QJM,ICB,31-Mar-26,DIAG_RATE_65_PLUS_UL,75.7,
