measure,display_name,description
AGE,Age,"The number of people in each age group on the dementia register."
ASS_Declined_GP_Mem_Ass,Declined Memory Assessment,"The number of patients who have received an assessment for dementia and declined a GP memory assessment since the start of the reporting year (April)."
ASS_Declined_GP_Mem_Clinic,Declined Memory Clinic Referral,"The number of patients who have received an assessment for dementia and declined a GP memory clinic referral since the start of the reporting year (April)."
ASS_Received_GP,Received GP assessment for dementia,"The number of patients who have received an assessment since the start of the reporting year (April)."
ASS_Received_GP_Mem_Ass,Received Memory Assessment,"The number of patients who have received an assessment for dementia and received a GP memory assessment since the start of the reporting year (April)."
ASS_Received_GP_Mem_Clinic,Received Memory Clinic Referral,"The number of patients who have received an assessment for dementia and received a GP memory clinic referral since the start of the reporting year (April)."
DIAG_Recieved_Care_Plan,Received Care Plan,"The number of patients with a diagnosis of dementia who received care plan or care plan review in the preceding 12 months."
DIAG_Declined_Care_Plan,Declined Care Plan,"The number of patients with a diagnosis of dementia who declined a care plan or care plan review in the preceding 12 months."
DIAG_Received_Med_Rev,Received Medication Review,"The number of patients with a recorded diagnosis of dementia, who had received a dementia care plan or care plan review and a medication review since the start of the reporting year (April)."
COMORBIDITIES,Comorbidities,"The number of patients who were recorded as having dementia and one or more of the following comorbidities: diabetes, stroke, hypertension and coronary heart disease."
DELIRIUM_12M,Delirium (12 months),"The number of patients with a recorded dementia diagnosis, who had a diagnosis of delirium on or after their earliest dementia diagnosis where the diagnosis of delirium was recorded in the last 12 months."
DEMENTIA_ESTIMATE_65_PLUS,Dementia estimate (Over 65s),"The estimated number of people living with dementia based on the Dementia 65+ estimated diagnosis rate."
DEMENTIA_REGISTER,Dementia Register,"The number of people currently diagnosed with dementia."
DEMENTIA_REGISTER_0_64,Dementia Register (Under 65),"The number of people currently diagnosed with dementia under the age of 65."
DEMENTIA_REGISTER_65_PLUS,Dementia Register (Over 65),"The number of people currently diagnosed with dementia over the age of 65."
DEMENTIA_TYPE,Dementia Type,"The number of patients diagnosed with each subtype of dementia."
DIAG_RATE_65_PLUS,Diagnosis Rate (Over 65s),"The estimated diagnosis rate for patients over 65."
DIAG_RATE_65_PLUS_LL,Diagnosis Rate (Over 65s - Lower limit),"The lower limit of the diagnosis rate based on a 95% confidence interval."
DIAG_RATE_65_PLUS_UL,Diagnosis Rate (Over 65s - Upper limit),"The upper limit of the diagnosis rate based on a 95% confidence interval."
ETHNICITY,Ethnicity,"The number of patients diagnosed with dementia, split by ethnic group."
INCIDENCE,Incidence,"Number of patients newly diagnosed with dementia."
PALLIATIVE_CARE,Palliative Care,"Number of patients with a diagnosis of dementia who are also on the palliative care register."
PAT_LIST_0_64,Patient List Under 65,"Total number of patients under 65. This number is calculated by summing practice list size."
PAT_LIST_65_PLUS,Patient List Over 65,"Total number of patients over 65. This number is calculated by summing practice list size."
PAT_LIST_ALL,Patient List,"Total number of patients."
RES_TYPE,Residential Type,"Number of patients with a dementia diagnosis split by residential type."
SEX,Sex,"Number of patients with a dementia diagnosis split by sex."
YOUNG_ONSET,Young Onset,"The number of patients who were recorded as having dementia before the age of 65."
