INDICATOR,ORG_TYPE,ORG_CODE,ONS_CODE,NAME,ACH_DATE,MEASURE,VALUE,DQ
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,31-Mar-26,DEMENTIA_ESTIMATE_65_PLUS,751551.4,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,31-Mar-26,DEMENTIA_REGISTER_65_PLUS,498122.0,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,31-Mar-26,DIAG_RATE_65_PLUS,66.3,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,31-Mar-26,DIAG_RATE_65_PLUS_LL,59.7,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,COUNTRY_RESPONSIBILITY,ENG,ENG,ENGLAND,31-Mar-26,DIAG_RATE_65_PLUS_UL,71.8,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QYG,E54000008,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,31-Mar-26,DEMENTIA_ESTIMATE_65_PLUS,35692.3,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QYG,E54000008,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,31-Mar-26,DEMENTIA_REGISTER_65_PLUS,24390.0,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QYG,E54000008,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,31-Mar-26,DIAG_RATE_65_PLUS,68.3,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QYG,E54000008,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,31-Mar-26,DIAG_RATE_65_PLUS_LL,61.5,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QYG,E54000008,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,31-Mar-26,DIAG_RATE_65_PLUS_UL,74.2,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QNC,E54000010,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,31-Mar-26,DEMENTIA_ESTIMATE_65_PLUS,16611.8,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QNC,E54000010,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,31-Mar-26,DEMENTIA_REGISTER_65_PLUS,12100.0,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QNC,E54000010,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,31-Mar-26,DIAG_RATE_65_PLUS,72.8,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QNC,E54000010,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,31-Mar-26,DIAG_RATE_65_PLUS_LL,65.5,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QNC,E54000010,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,31-Mar-26,DIAG_RATE_65_PLUS_UL,79.0,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QOC,E54000011,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",31-Mar-26,DEMENTIA_ESTIMATE_65_PLUS,8212.8,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QOC,E54000011,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",31-Mar-26,DEMENTIA_REGISTER_65_PLUS,4954.0,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QOC,E54000011,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",31-Mar-26,DIAG_RATE_65_PLUS,60.3,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QOC,E54000011,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",31-Mar-26,DIAG_RATE_65_PLUS_LL,54.2,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QOC,E54000011,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",31-Mar-26,DIAG_RATE_65_PLUS_UL,65.7,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QJM,E54000013,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,31-Mar-26,DEMENTIA_ESTIMATE_65_PLUS,12989.9,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QJM,E54000013,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,31-Mar-26,DEMENTIA_REGISTER_65_PLUS,9048.0,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QJM,E54000013,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,31-Mar-26,DIAG_RATE_65_PLUS,69.7,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QJM,E54000013,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,31-Mar-26,DIAG_RATE_65_PLUS_LL,62.7,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QJM,E54000013,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,31-Mar-26,DIAG_RATE_65_PLUS_UL,75.7,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QK1,E54000015,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",31-Mar-26,DEMENTIA_ESTIMATE_65_PLUS,14240.6,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QK1,E54000015,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",31-Mar-26,DEMENTIA_REGISTER_65_PLUS,8989.0,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QK1,E54000015,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",31-Mar-26,DIAG_RATE_65_PLUS,63.1,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QK1,E54000015,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",31-Mar-26,DIAG_RATE_65_PLUS_LL,56.7,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QK1,E54000015,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",31-Mar-26,DIAG_RATE_65_PLUS_UL,68.5,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QWU,E54000018,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,31-Mar-26,DEMENTIA_ESTIMATE_65_PLUS,12882.8,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QWU,E54000018,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,31-Mar-26,DEMENTIA_REGISTER_65_PLUS,7516.0,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QWU,E54000018,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,31-Mar-26,DIAG_RATE_65_PLUS,58.3,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QWU,E54000018,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,31-Mar-26,DIAG_RATE_65_PLUS_LL,52.5,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QWU,E54000018,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,31-Mar-26,DIAG_RATE_65_PLUS_UL,63.4,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QGH,E54000019,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,31-Mar-26,DEMENTIA_ESTIMATE_65_PLUS,13329.6,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QGH,E54000019,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,31-Mar-26,DEMENTIA_REGISTER_65_PLUS,7520.0,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QGH,E54000019,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,31-Mar-26,DIAG_RATE_65_PLUS,56.4,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QGH,E54000019,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,31-Mar-26,DIAG_RATE_65_PLUS_LL,50.7,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QGH,E54000019,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,31-Mar-26,DIAG_RATE_65_PLUS_UL,61.3,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QMM,E54000022,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,31-Mar-26,DEMENTIA_ESTIMATE_65_PLUS,18619.5,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QMM,E54000022,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,31-Mar-26,DEMENTIA_REGISTER_65_PLUS,11886.0,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QMM,E54000022,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,31-Mar-26,DIAG_RATE_65_PLUS,63.8,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QMM,E54000022,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,31-Mar-26,DIAG_RATE_65_PLUS_LL,57.4,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QMM,E54000022,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,31-Mar-26,DIAG_RATE_65_PLUS_UL,69.2,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QJG,E54000023,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,31-Mar-26,DEMENTIA_ESTIMATE_65_PLUS,16918.2,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QJG,E54000023,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,31-Mar-26,DEMENTIA_REGISTER_65_PLUS,10243.0,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QJG,E54000023,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,31-Mar-26,DIAG_RATE_65_PLUS,60.5,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QJG,E54000023,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,31-Mar-26,DIAG_RATE_65_PLUS_LL,54.5,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QJG,E54000023,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,31-Mar-26,DIAG_RATE_65_PLUS_UL,65.7,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QHG,E54000024,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",31-Mar-26,DEMENTIA_ESTIMATE_65_PLUS,10952.1,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QHG,E54000024,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",31-Mar-26,DEMENTIA_REGISTER_65_PLUS,7671.0,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QHG,E54000024,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",31-Mar-26,DIAG_RATE_65_PLUS,70.0,
DEMENTIA: 65+ ESTIMATED DIAGNOSIS RATE,ICB,QHG,E54000024,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",31-Mar-26,DIAG_RATE_65_PLUS_LL,62.9,
