ACH_DATE,ORG_TYPE,ORG_CODE,ONS_CODE,NAME,Measure,Value
31-Mar-26,COUNTRY,ENG,E92000001,ENGLAND,PALLIATIVE_CARE,98565
31-Mar-26,COUNTRY,ENG,E92000001,ENGLAND,COMORBIDITIES,367958
31-Mar-26,COUNTRY,ENG,E92000001,ENGLAND,DEMENTIA_REGISTER_65_PLUS,498122
31-Mar-26,ICB,QOX,E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",COMORBIDITIES,6504
31-Mar-26,ICB,QOX,E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",PALLIATIVE_CARE,712
31-Mar-26,ICB,QOX,E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",DEMENTIA_REGISTER_65_PLUS,8977
31-Mar-26,ICB,QHG,E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",COMORBIDITIES,5870
31-Mar-26,ICB,QHG,E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",PALLIATIVE_CARE,1117
31-Mar-26,ICB,QHG,E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",DEMENTIA_REGISTER_65_PLUS,7671
31-Mar-26,ICB,QHL,E54000055,NHS Birmingham and Solihull Integrated Care Board,COMORBIDITIES,7215
31-Mar-26,ICB,QHL,E54000055,NHS Birmingham and Solihull Integrated Care Board,PALLIATIVE_CARE,2193
31-Mar-26,ICB,QHL,E54000055,NHS Birmingham and Solihull Integrated Care Board,DEMENTIA_REGISTER_65_PLUS,9520
31-Mar-26,ICB,QUA,E54000062,NHS Black Country Integrated Care Board,PALLIATIVE_CARE,2996
31-Mar-26,ICB,QUA,E54000062,NHS Black Country Integrated Care Board,COMORBIDITIES,7791
31-Mar-26,ICB,QUA,E54000062,NHS Black Country Integrated Care Board,DEMENTIA_REGISTER_65_PLUS,10067
31-Mar-26,ICB,QUY,E54000039,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",COMORBIDITIES,6460
31-Mar-26,ICB,QUY,E54000039,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",PALLIATIVE_CARE,1021
31-Mar-26,ICB,QUY,E54000039,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",DEMENTIA_REGISTER_65_PLUS,8808
31-Mar-26,ICB,QU9,E54000044,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",PALLIATIVE_CARE,2188
31-Mar-26,ICB,QU9,E54000044,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",COMORBIDITIES,10707
31-Mar-26,ICB,QU9,E54000044,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",DEMENTIA_REGISTER_65_PLUS,15233
31-Mar-26,ICB,QUE,E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,PALLIATIVE_CARE,1088
31-Mar-26,ICB,QUE,E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,COMORBIDITIES,5333
31-Mar-26,ICB,QUE,E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,DEMENTIA_REGISTER_65_PLUS,7172
31-Mar-26,ICB,QYG,E54000008,NHS Cheshire and Merseyside Integrated Care Board,PALLIATIVE_CARE,6270
31-Mar-26,ICB,QYG,E54000008,NHS Cheshire and Merseyside Integrated Care Board,COMORBIDITIES,18046
31-Mar-26,ICB,QYG,E54000008,NHS Cheshire and Merseyside Integrated Care Board,DEMENTIA_REGISTER_65_PLUS,24390
31-Mar-26,ICB,QT6,E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,PALLIATIVE_CARE,386
31-Mar-26,ICB,QT6,E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,COMORBIDITIES,4495
31-Mar-26,ICB,QT6,E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,DEMENTIA_REGISTER_65_PLUS,6242
31-Mar-26,ICB,QWU,E54000018,NHS Coventry and Warwickshire Integrated Care Board,COMORBIDITIES,5475
31-Mar-26,ICB,QWU,E54000018,NHS Coventry and Warwickshire Integrated Care Board,PALLIATIVE_CARE,1102
31-Mar-26,ICB,QWU,E54000018,NHS Coventry and Warwickshire Integrated Care Board,DEMENTIA_REGISTER_65_PLUS,7516
31-Mar-26,ICB,QJ2,E54000058,NHS Derby and Derbyshire Integrated Care Board,COMORBIDITIES,7925
